2025-11-25T16:37:23.080-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4016, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8096, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T16:37:23.128-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}}
2025-11-25T16:37:23.130-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "capacity_mb": 256}
2025-11-25T16:37:23.131-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T16:37:23.131-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}}
2025-11-25T16:37:23.132-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "peers": ["localhost:4000"]}
2025-11-25T16:37:23.132-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "addr": ":8096"}
2025-11-25T16:37:23.158-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T16:37:23.162-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "predecessor": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T16:37:23.166-0800	[33mWARN[0m	node	logicnode/operation.go:406	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "target": "0x022e02c2420a169ed7", "nextHop": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T16:37:23.169-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "successor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T16:37:23.169-0800	[34mINFO[0m	node	node/main.go:283	node registered successfully	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}}
2025-11-25T16:38:39.157-0800	[34mINFO[0m	node.http-server	server/http.go:400	I am responsible, fetching from origin	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "url": "https://httpbin.org/bytes/2048"}
2025-11-25T16:38:39.199-0800	[34mINFO[0m	node.http-server	server/http.go:400	I am responsible, fetching from origin	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "url": "https://httpbin.org/bytes/2048"}
2025-11-25T16:38:39.235-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "lookup_latency_ms": 163}
2025-11-25T16:38:39.236-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible_from_lookup": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "forward_target": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}}
