2025-11-12T16:08:10.146-0800	[34mINFO[0m	config/config.go:297	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "5s", "dht.deBruijn.fixIntervalMs": 5000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": [], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4000, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8080, "cache.capacityMB": 512, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-12T16:08:10.230-0800	[34mINFO[0m	node	node/main.go:101	New Node initializing	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025/11/12 16:08:10 Tracing disabled
2025-11-12T16:08:10.232-0800	[34mINFO[0m	node	node/main.go:130	initialized web cache	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "capacity_mb": 512}
2025-11-12T16:08:10.232-0800	[34mINFO[0m	node	node/main.go:137	initialized hotspot detector	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "threshold": 10, "decay_rate": 0.65}
2025-11-12T16:08:10.233-0800	[34mINFO[0m	node	node/main.go:237	resolved bootstrap peers	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "peers": []}
2025-11-12T16:08:10.233-0800	[34mINFO[0m	node	node/main.go:259	node registered successfully	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-12T16:08:10.233-0800	[34mINFO[0m	node.http-server	server/http.go:70	HTTP cache server starting	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "addr": ":8080"}
2025-11-12T16:08:12.122-0800	[34mINFO[0m	node	logicnode/operation.go:414	Notify: predecessor updated	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "newPredecessor": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "oldPredecessor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-12T16:08:14.084-0800	[34mINFO[0m	node	logicnode/operation.go:414	Notify: predecessor updated	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "newPredecessor": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "oldPredecessor": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-12T16:08:18.083-0800	[34mINFO[0m	node	logicnode/operation.go:414	Notify: predecessor updated	{"self": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "newPredecessor": {"addr":"localhost:4004","id":"0x003ce6a18a52608073"}, "oldPredecessor": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
