2025-11-24T19:47:20.648-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 2, "dht.deBruijn.fixInterval": "5s", "dht.deBruijn.fixIntervalMs": 5000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4002, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8082, "cache.capacityMB": 512, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-24T19:47:20.736-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
2025-11-24T19:47:20.738-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "capacity_mb": 512}
2025-11-24T19:47:20.739-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "threshold": 10, "decay_rate": 0.65}
2025-11-24T19:47:20.739-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
2025-11-24T19:47:20.740-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "peers": ["localhost:4000"]}
2025-11-24T19:47:20.740-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "addr": ":8082"}
2025-11-24T19:47:20.766-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-24T19:47:20.769-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "predecessor": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-24T19:47:20.775-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "successor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-24T19:47:20.776-0800	[34mINFO[0m	node	node/main.go:283	node registered successfully	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
2025-11-24T20:05:58.173-0800	[34mINFO[0m	node.http-server	server/http.go:400	I am responsible, fetching from origin	{"self": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}, "url": "https://httpbin.org/robots.txt"}
